"","symbol","date","open","high","low","close","volume","adjusted","ma7","ma200","RSI"
"47","ETH-USD",2019-02-16,122.396454,124.134811,122.295303,123.260216,2905833287,123.260216,122.568797571429,NA,56.413134846663
"48","ETH-USD",2019-02-17,123.182083,134.460098,123.091614,133.598877,4236081130,133.598877,123.824853142857,NA,66.4842482645132
"49","ETH-USD",2019-02-18,133.032547,147.686584,133.001938,146.098373,5387525773,146.098373,127.367707428571,NA,74.2352889738776
"50","ETH-USD",2019-02-19,146.398819,149.929977,145.128464,145.346191,5310842625,145.346191,130.621122,NA,73.1391239886831
"51","ETH-USD",2019-02-20,145.172729,149.554337,142.502121,149.554337,4500094965,149.554337,134.478369571429,NA,75.3335675195086
"52","ETH-USD",2019-02-21,149.352325,149.352325,144.563812,146.130844,3995766856,146.130844,138.012746571429,NA,70.3016546448979
"53","ETH-USD",2019-02-22,146.073257,149.268616,145.206543,149.092453,3731099284,149.092453,141.868755857143,NA,72.0414651448896
"54","ETH-USD",2019-02-23,148.67662,159.12587,147.331055,158.795425,4519468458,158.795425,146.945214285714,NA,76.8305009000363
"55","ETH-USD",2019-02-24,158.902405,165.549622,135.852661,135.852661,5957715043,135.852661,147.267183428571,NA,53.4966693675355
"56","ETH-USD",2019-02-25,135.499725,142.525574,135.483841,139.822861,4914392068,139.822861,146.370681714286,NA,55.9876930538055
"57","ETH-USD",2019-02-26,139.646088,139.97644,136.579605,138.089676,3791292839,138.089676,145.334036714286,NA,54.6123782802362
"58","ETH-USD",2019-02-27,138.029572,141.336227,131.602921,136.125961,4469776860,136.125961,143.415697285714,NA,53.0231251497187
"59","ETH-USD",2019-02-28,136.283081,138.847137,135.657593,136.746246,4535438953,136.746246,142.075040428571,NA,53.4835996553308
"60","ETH-USD",2019-03-01,136.836243,138.99527,136.434784,136.443619,3756124824,136.443619,140.268064142857,NA,53.2095607530091
"61","ETH-USD",2019-03-02,136.350082,137.184799,132.436386,134.206955,3747176425,134.206955,136.755425571429,NA,51.1245936013347
"62","ETH-USD",2019-03-03,134.786118,135.849289,131.328857,132.24942,3454374053,132.24942,136.240676857143,NA,49.3037082598687
"63","ETH-USD",2019-03-04,132.157883,132.729141,125.402702,127.774124,4008171341,127.774124,134.519428714286,NA,45.3288272959715
"64","ETH-USD",2019-03-05,127.792953,138.22998,126.735298,137.822388,4764849990,137.822388,134.481244714286,NA,54.2477251471258
"65","ETH-USD",2019-03-06,137.95874,139.968826,136.14592,138.789352,4589054219,138.789352,134.861729142857,NA,55.0083812797824
"66","ETH-USD",2019-03-07,138.942383,140.85788,137.273132,138.0345,4339206292,138.0345,135.045765428571,NA,54.2501308651641
"67","ETH-USD",2019-03-08,138.311356,139.4991,133.557693,135.127075,4678816794,135.127075,134.857687714286,NA,51.3160734820222
